ID,age,gender,tenure,frequent,payment_interval,subscription_type,contract_length,after_interaction,support_needs
TRAIN_00080,42.0,M,14.0,8.0,27.0,member,90,7.0,0
TRAIN_00081,28.0,F,60.0,18.0,1.0,vip,90,10.0,0
TRAIN_00082,25.0,F,26.0,28.0,21.0,vip,360,12.0,1
TRAIN_00083,21.0,M,1.0,5.0,9.0,plus,90,24.0,0
TRAIN_00084,40.0,F,40.0,16.0,13.0,member,90,15.0,1
TRAIN_00085,49.0,F,32.0,27.0,4.0,vip,90,14.0,0
TRAIN_00086,26.0,M,50.0,14.0,18.0,plus,90,6.0,0
TRAIN_00087,42.0,F,24.0,19.0,0.0,plus,360,10.0,1
TRAIN_00088,48.0,M,20.0,27.0,10.0,vip,90,18.0,0
TRAIN_00089,42.0,M,7.0,19.0,19.0,member,360,6.0,1
TRAIN_00090,38.0,M,52.0,9.0,6.0,plus,90,28.0,0
TRAIN_00091,47.0,M,60.0,5.0,13.0,plus,360,30.0,0
TRAIN_00092,40.0,M,53.0,17.0,7.0,plus,90,29.0,0
TRAIN_00093,27.0,F,27.0,15.0,0.0,member,30,2.0,2
TRAIN_00094,32.0,M,45.0,15.0,12.0,plus,90,10.0,0
TRAIN_00095,46.0,M,14.0,19.0,2.0,vip,90,18.0,0
TRAIN_00096,42.0,M,31.0,22.0,5.0,member,360,6.0,0
TRAIN_00097,33.0,M,60.0,26.0,10.0,vip,360,7.0,0
TRAIN_00098,44.0,F,1.0,6.0,21.0,plus,30,12.0,0
TRAIN_00099,50.0,M,60.0,16.0,17.0,member,360,3.0,2
TRAIN_00100,32.0,M,46.0,11.0,1.0,vip,360,16.0,1
TRAIN_00101,39.0,F,37.0,22.0,16.0,member,360,6.0,1
TRAIN_00102,43.0,M,4.0,23.0,9.0,vip,30,9.0,1
TRAIN_00103,33.0,F,5.0,25.0,6.0,vip,360,3.0,0
TRAIN_00104,61.0,F,53.0,10.0,8.0,plus,360,22.0,2
TRAIN_00105,44.0,M,1.0,25.0,5.0,plus,30,28.0,2
TRAIN_00106,21.0,F,27.0,14.0,11.0,member,360,4.0,0
TRAIN_00107,18.0,F,40.0,7.0,7.0,member,360,17.0,0
TRAIN_00108,40.0,M,35.0,10.0,9.0,vip,360,12.0,0
TRAIN_00109,49.0,F,6.0,1.0,1.0,member,90,19.0,1
TRAIN_00110,44.0,M,7.0,10.0,8.0,vip,90,18.0,0
TRAIN_00111,27.0,M,51.0,13.0,2.0,plus,30,19.0,0
TRAIN_00112,29.0,F,17.0,30.0,14.0,plus,30,26.0,1
TRAIN_00113,59.0,F,21.0,25.0,1.0,plus,360,9.0,2
TRAIN_00114,44.0,M,34.0,30.0,20.0,plus,360,6.0,0
TRAIN_00115,29.0,M,24.0,15.0,3.0,plus,30,1.0,0
TRAIN_00116,44.0,M,48.0,7.0,18.0,plus,360,13.0,1
TRAIN_00117,36.0,F,42.0,16.0,26.0,member,90,1.0,2
TRAIN_00118,47.0,M,26.0,3.0,15.0,plus,90,20.0,0
TRAIN_00119,36.0,M,47.0,29.0,6.0,plus,90,5.0,0
TRAIN_00120,20.0,M,52.0,27.0,15.0,member,90,24.0,0
TRAIN_00121,45.0,F,54.0,21.0,30.0,member,90,25.0,1
TRAIN_00122,50.0,F,40.0,27.0,12.0,member,360,15.0,1
TRAIN_00123,28.0,F,2.0,30.0,25.0,member,30,4.0,2
TRAIN_00124,27.0,M,22.0,27.0,12.0,plus,360,24.0,0
TRAIN_00125,47.0,M,11.0,17.0,10.0,plus,90,6.0,0
TRAIN_00126,55.0,M,25.0,4.0,13.0,vip,360,2.0,2
TRAIN_00127,50.0,M,40.0,11.0,5.0,member,360,14.0,0
TRAIN_00128,25.0,M,1.0,22.0,3.0,member,90,26.0,1
TRAIN_00129,26.0,M,25.0,15.0,2.0,plus,90,22.0,0
TRAIN_00130,23.0,M,27.0,27.0,16.0,plus,90,8.0,2
TRAIN_00131,29.0,M,12.0,27.0,19.0,vip,360,28.0,0
TRAIN_00132,21.0,M,52.0,2.0,30.0,member,30,12.0,1
TRAIN_00133,39.0,M,32.0,18.0,13.0,member,360,23.0,0
TRAIN_00134,19.0,M,19.0,27.0,3.0,vip,90,29.0,0
TRAIN_00135,39.0,F,22.0,13.0,10.0,plus,360,5.0,0
TRAIN_00136,42.0,F,13.0,19.0,11.0,vip,90,7.0,0
TRAIN_00137,49.0,M,48.0,24.0,19.0,plus,30,17.0,1
TRAIN_00138,36.0,F,1.0,11.0,10.0,member,90,24.0,0
TRAIN_00139,23.0,F,34.0,19.0,15.0,member,90,8.0,0
TRAIN_00140,29.0,M,38.0,1.0,22.0,vip,90,6.0,0
TRAIN_00141,39.0,M,57.0,20.0,13.0,vip,360,5.0,0
TRAIN_00142,30.0,F,18.0,27.0,28.0,plus,30,29.0,2
TRAIN_00143,43.0,M,28.0,6.0,21.0,member,90,23.0,0
TRAIN_00144,47.0,F,5.0,15.0,19.0,member,90,9.0,1
TRAIN_00145,33.0,M,2.0,3.0,11.0,vip,360,13.0,1
TRAIN_00146,37.0,M,12.0,22.0,18.0,plus,360,15.0,0
TRAIN_00147,39.0,M,54.0,9.0,5.0,plus,90,6.0,0
TRAIN_00148,56.0,F,27.0,17.0,13.0,member,360,14.0,2
TRAIN_00149,25.0,F,34.0,18.0,3.0,plus,360,13.0,1
TRAIN_00150,22.0,F,40.0,11.0,10.0,member,360,15.0,0
TRAIN_00151,37.0,M,5.0,8.0,4.0,plus,90,12.0,1
TRAIN_00152,53.0,M,32.0,10.0,26.0,vip,90,19.0,2
TRAIN_00153,27.0,M,36.0,1.0,20.0,member,360,28.0,2
TRAIN_00154,21.0,M,11.0,6.0,27.0,vip,90,20.0,0
TRAIN_00155,49.0,M,33.0,4.0,6.0,plus,360,14.0,1
TRAIN_00156,30.0,F,38.0,29.0,16.0,plus,360,15.0,0
TRAIN_00157,56.0,M,55.0,16.0,17.0,member,360,15.0,2
TRAIN_00158,21.0,F,11.0,18.0,10.0,plus,90,17.0,2
TRAIN_00159,34.0,M,36.0,8.0,2.0,member,360,8.0,1
TRAIN_00160,35.0,F,33.0,16.0,19.0,vip,30,14.0,2
TRAIN_00161,41.0,M,38.0,21.0,9.0,plus,90,16.0,1
TRAIN_00162,41.0,M,29.0,1.0,16.0,member,90,8.0,2
TRAIN_00163,54.0,M,51.0,6.0,12.0,plus,30,11.0,0
TRAIN_00164,49.0,M,36.0,12.0,6.0,member,360,8.0,0
TRAIN_00165,45.0,F,18.0,2.0,12.0,member,90,19.0,2
TRAIN_00166,41.0,F,37.0,15.0,8.0,member,90,10.0,0
TRAIN_00167,50.0,M,23.0,28.0,28.0,plus,30,13.0,1
TRAIN_00168,34.0,M,58.0,28.0,4.0,member,90,22.0,0
TRAIN_00169,45.0,M,33.0,22.0,17.0,member,30,15.0,1
TRAIN_00170,45.0,F,2.0,18.0,11.0,vip,360,13.0,1
TRAIN_00171,41.0,M,34.0,23.0,27.0,plus,30,9.0,2
TRAIN_00172,46.0,F,8.0,22.0,2.0,member,360,11.0,0
TRAIN_00173,65.0,M,55.0,2.0,21.0,vip,360,30.0,2
TRAIN_00174,48.0,M,43.0,24.0,1.0,plus,90,14.0,0
TRAIN_00175,26.0,F,9.0,7.0,11.0,member,90,13.0,0
TRAIN_00176,30.0,F,5.0,3.0,15.0,plus,360,13.0,1
TRAIN_00177,46.0,M,40.0,8.0,19.0,vip,90,6.0,0
TRAIN_00178,20.0,M,42.0,28.0,2.0,plus,360,15.0,0
TRAIN_00179,56.0,F,45.0,11.0,21.0,plus,90,9.0,2
TRAIN_00180,32.0,F,12.0,15.0,2.0,member,90,26.0,0
TRAIN_00181,28.0,M,50.0,19.0,18.0,plus,90,2.0,1
TRAIN_00182,50.0,F,52.0,7.0,3.0,member,360,14.0,0
TRAIN_00183,41.0,M,30.0,27.0,6.0,member,90,29.0,1
TRAIN_00184,27.0,M,33.0,14.0,14.0,vip,90,5.0,0
TRAIN_00185,38.0,F,27.0,7.0,0.0,vip,360,2.0,2
TRAIN_00186,46.0,M,42.0,27.0,3.0,member,90,30.0,0
TRAIN_00187,30.0,F,42.0,28.0,6.0,vip,360,1.0,0
TRAIN_00188,48.0,M,58.0,13.0,0.0,member,90,9.0,0
TRAIN_00189,21.0,F,40.0,27.0,7.0,member,30,6.0,2
TRAIN_00190,31.0,F,39.0,23.0,6.0,vip,90,8.0,0
TRAIN_00191,29.0,M,50.0,23.0,4.0,plus,30,14.0,2
TRAIN_00192,43.0,M,38.0,5.0,4.0,vip,360,24.0,0
TRAIN_00193,58.0,F,47.0,11.0,0.0,member,30,8.0,2
TRAIN_00194,34.0,M,19.0,13.0,3.0,vip,360,23.0,1
TRAIN_00195,44.0,F,36.0,13.0,14.0,member,360,15.0,1
TRAIN_00196,59.0,F,56.0,26.0,10.0,member,360,14.0,1
TRAIN_00197,61.0,M,58.0,27.0,23.0,vip,360,23.0,2
TRAIN_00198,43.0,M,60.0,6.0,9.0,member,90,25.0,0
TRAIN_00199,33.0,M,50.0,3.0,21.0,vip,90,15.0,2
TRAIN_00200,41.0,F,23.0,19.0,0.0,plus,90,8.0,1
TRAIN_00201,54.0,M,23.0,21.0,3.0,member,30,13.0,2
TRAIN_00202,39.0,M,9.0,24.0,6.0,member,90,15.0,0
TRAIN_00203,50.0,M,21.0,30.0,12.0,member,90,22.0,2
TRAIN_00204,38.0,F,16.0,1.0,16.0,plus,30,9.0,0
TRAIN_00205,28.0,M,4.0,20.0,4.0,member,360,10.0,0
TRAIN_00206,31.0,F,25.0,27.0,15.0,plus,360,5.0,1
TRAIN_00207,33.0,F,40.0,2.0,3.0,plus,90,21.0,0
TRAIN_00208,48.0,M,47.0,17.0,14.0,plus,90,30.0,1
TRAIN_00209,22.0,M,8.0,14.0,18.0,member,360,20.0,0
TRAIN_00210,40.0,M,59.0,26.0,30.0,member,360,15.0,0
TRAIN_00211,42.0,F,44.0,30.0,8.0,plus,90,2.0,0
TRAIN_00212,58.0,M,7.0,15.0,22.0,plus,360,3.0,1
TRAIN_00213,46.0,M,29.0,1.0,1.0,vip,30,17.0,0
TRAIN_00214,44.0,M,48.0,23.0,5.0,vip,30,7.0,2
TRAIN_00215,20.0,F,5.0,24.0,7.0,plus,360,15.0,0
TRAIN_00216,65.0,F,33.0,2.0,14.0,plus,90,29.0,0
TRAIN_00217,47.0,M,38.0,12.0,18.0,member,360,22.0,2
TRAIN_00218,31.0,M,5.0,3.0,5.0,vip,360,6.0,0
TRAIN_00219,65.0,F,23.0,27.0,10.0,vip,90,23.0,0
TRAIN_00220,42.0,M,44.0,10.0,16.0,vip,90,11.0,0
TRAIN_00221,29.0,M,47.0,11.0,21.0,plus,360,17.0,0
TRAIN_00222,55.0,M,55.0,13.0,6.0,plus,360,20.0,2
TRAIN_00223,18.0,M,50.0,2.0,10.0,vip,360,1.0,2
TRAIN_00224,41.0,F,12.0,17.0,15.0,vip,360,10.0,0
TRAIN_00225,62.0,F,52.0,29.0,12.0,member,360,16.0,2
TRAIN_00226,32.0,F,50.0,21.0,30.0,member,360,1.0,2
TRAIN_00227,45.0,M,51.0,5.0,1.0,member,90,19.0,1
TRAIN_00228,41.0,F,35.0,21.0,9.0,vip,90,3.0,0
TRAIN_00229,49.0,F,54.0,9.0,21.0,plus,90,19.0,2
TRAIN_00230,45.0,F,45.0,12.0,21.0,member,30,16.0,1
TRAIN_00231,34.0,M,54.0,7.0,8.0,vip,360,15.0,0
TRAIN_00232,36.0,M,32.0,19.0,26.0,vip,30,21.0,2
TRAIN_00233,41.0,M,36.0,16.0,20.0,member,90,18.0,0
TRAIN_00234,35.0,M,13.0,20.0,0.0,vip,90,10.0,1
TRAIN_00235,37.0,M,7.0,15.0,9.0,plus,90,7.0,1
TRAIN_00236,50.0,M,44.0,2.0,7.0,plus,90,28.0,2
TRAIN_00237,24.0,F,44.0,9.0,14.0,member,360,14.0,0
TRAIN_00238,62.0,M,55.0,14.0,30.0,plus,360,25.0,2
TRAIN_00239,27.0,M,49.0,28.0,24.0,member,360,1.0,1
TRAIN_00240,48.0,M,22.0,9.0,5.0,plus,360,22.0,1
TRAIN_00241,27.0,M,11.0,26.0,9.0,member,360,27.0,0
TRAIN_00242,50.0,F,27.0,20.0,16.0,vip,90,1.0,1
TRAIN_00243,48.0,M,38.0,25.0,16.0,vip,360,7.0,1
TRAIN_00244,42.0,M,39.0,29.0,9.0,member,90,20.0,2
TRAIN_00245,22.0,M,55.0,15.0,26.0,vip,360,7.0,0
TRAIN_00246,53.0,F,29.0,4.0,7.0,vip,360,29.0,1
TRAIN_00247,30.0,M,20.0,26.0,20.0,plus,90,4.0,1
TRAIN_00248,47.0,F,22.0,20.0,1.0,vip,360,17.0,0
TRAIN_00249,33.0,M,43.0,13.0,28.0,member,30,16.0,0
TRAIN_00250,48.0,M,15.0,7.0,11.0,member,30,30.0,1
TRAIN_00251,44.0,F,48.0,22.0,7.0,vip,90,30.0,0
TRAIN_00252,39.0,F,51.0,17.0,13.0,member,90,3.0,0
TRAIN_00253,50.0,M,49.0,3.0,20.0,vip,360,12.0,0
TRAIN_00254,35.0,M,39.0,30.0,10.0,plus,360,4.0,0
TRAIN_00255,39.0,M,1.0,29.0,15.0,member,90,3.0,0
TRAIN_00256,40.0,M,34.0,18.0,13.0,vip,90,4.0,0
TRAIN_00257,31.0,F,33.0,5.0,12.0,vip,30,27.0,1
TRAIN_00258,56.0,F,4.0,22.0,14.0,member,30,19.0,2
TRAIN_00259,39.0,M,41.0,16.0,18.0,plus,360,9.0,1
TRAIN_00260,38.0,M,35.0,12.0,27.0,member,90,18.0,2
TRAIN_00261,21.0,F,38.0,9.0,9.0,plus,90,17.0,2
TRAIN_00262,30.0,M,10.0,1.0,25.0,plus,360,7.0,2
TRAIN_00263,62.0,F,10.0,19.0,30.0,vip,90,20.0,2
TRAIN_00264,64.0,F,12.0,30.0,12.0,member,360,16.0,1
TRAIN_00265,65.0,M,5.0,3.0,12.0,member,30,13.0,0
TRAIN_00266,45.0,F,54.0,11.0,2.0,member,90,1.0,0
TRAIN_00267,35.0,M,49.0,26.0,4.0,member,90,8.0,0
TRAIN_00268,24.0,M,36.0,29.0,2.0,vip,90,5.0,0
TRAIN_00269,32.0,F,1.0,29.0,3.0,plus,360,18.0,2
TRAIN_00270,45.0,M,60.0,6.0,15.0,plus,360,30.0,0
TRAIN_00271,52.0,M,36.0,20.0,26.0,plus,90,18.0,1
TRAIN_00272,48.0,F,5.0,19.0,11.0,member,30,27.0,0
TRAIN_00273,25.0,M,33.0,21.0,3.0,member,90,13.0,0
TRAIN_00274,58.0,M,36.0,15.0,22.0,vip,30,30.0,1
TRAIN_00275,52.0,F,59.0,3.0,28.0,member,360,17.0,1
TRAIN_00276,23.0,M,1.0,29.0,19.0,plus,360,23.0,0
TRAIN_00277,18.0,F,9.0,8.0,14.0,vip,90,7.0,0
TRAIN_00278,52.0,M,56.0,12.0,23.0,member,360,2.0,1
TRAIN_00279,38.0,M,14.0,6.0,28.0,plus,90,24.0,0
TRAIN_00280,31.0,M,52.0,18.0,18.0,plus,90,13.0,0
TRAIN_00281,33.0,F,36.0,3.0,14.0,member,90,6.0,2
TRAIN_00282,20.0,F,52.0,17.0,9.0,vip,30,26.0,2
TRAIN_00283,24.0,F,30.0,11.0,3.0,member,30,6.0,1
TRAIN_00284,48.0,M,26.0,16.0,3.0,member,360,4.0,2
TRAIN_00285,35.0,F,22.0,14.0,19.0,vip,360,13.0,0
TRAIN_00286,30.0,M,43.0,26.0,4.0,plus,90,30.0,0
TRAIN_00287,27.0,F,55.0,26.0,15.0,member,360,10.0,0
TRAIN_00288,25.0,M,18.0,26.0,19.0,vip,90,3.0,0
TRAIN_00289,50.0,F,14.0,7.0,5.0,plus,30,21.0,2
TRAIN_00290,63.0,M,57.0,4.0,16.0,member,360,16.0,2
TRAIN_00291,44.0,M,42.0,10.0,9.0,plus,90,19.0,2
TRAIN_00292,46.0,M,60.0,15.0,5.0,plus,360,9.0,1
TRAIN_00293,31.0,M,21.0,11.0,17.0,member,30,16.0,0
TRAIN_00294,63.0,M,45.0,18.0,2.0,member,360,20.0,2
TRAIN_00295,62.0,F,47.0,30.0,21.0,vip,30,21.0,0
TRAIN_00296,50.0,F,11.0,11.0,8.0,vip,360,12.0,1
TRAIN_00297,40.0,M,29.0,15.0,18.0,plus,90,16.0,1
TRAIN_00298,49.0,M,45.0,20.0,19.0,vip,90,11.0,0
TRAIN_00299,64.0,M,52.0,16.0,11.0,member,30,20.0,2
TRAIN_00300,59.0,F,24.0,8.0,11.0,member,30,26.0,1
TRAIN_00301,50.0,F,36.0,30.0,13.0,vip,90,12.0,1
TRAIN_00302,37.0,M,44.0,24.0,20.0,member,360,25.0,0
TRAIN_00303,41.0,F,37.0,24.0,26.0,member,90,27.0,2
TRAIN_00304,35.0,M,55.0,28.0,19.0,vip,360,23.0,2
TRAIN_00305,38.0,M,56.0,3.0,0.0,vip,360,24.0,1
TRAIN_00306,58.0,F,10.0,28.0,20.0,member,30,23.0,2
TRAIN_00307,58.0,F,33.0,16.0,24.0,member,360,30.0,2
TRAIN_00308,18.0,F,31.0,20.0,17.0,plus,90,1.0,0
TRAIN_00309,24.0,M,26.0,24.0,11.0,member,30,17.0,1
TRAIN_00310,37.0,F,49.0,2.0,0.0,member,90,2.0,0
TRAIN_00311,25.0,M,49.0,6.0,28.0,member,90,12.0,2
TRAIN_00312,36.0,F,48.0,18.0,10.0,vip,360,6.0,1
TRAIN_00313,46.0,M,51.0,13.0,19.0,vip,360,28.0,0
TRAIN_00314,40.0,F,60.0,24.0,12.0,plus,360,12.0,0
TRAIN_00315,25.0,F,49.0,14.0,14.0,plus,90,22.0,2
TRAIN_00316,36.0,F,31.0,7.0,4.0,member,90,11.0,0
TRAIN_00317,42.0,M,50.0,28.0,8.0,vip,360,11.0,0
TRAIN_00318,19.0,M,23.0,19.0,24.0,plus,90,6.0,2
TRAIN_00319,39.0,M,24.0,15.0,7.0,plus,90,19.0,0
TRAIN_00320,50.0,F,26.0,23.0,15.0,vip,90,15.0,0
TRAIN_00321,49.0,M,35.0,23.0,4.0,vip,90,3.0,2
TRAIN_00322,44.0,F,24.0,1.0,15.0,plus,90,22.0,2
TRAIN_00323,44.0,M,31.0,5.0,21.0,member,90,2.0,0
TRAIN_00324,36.0,M,55.0,13.0,4.0,plus,360,30.0,0
TRAIN_00325,19.0,M,11.0,1.0,9.0,plus,30,18.0,0
TRAIN_00326,30.0,M,53.0,24.0,6.0,plus,90,17.0,0
TRAIN_00327,24.0,M,44.0,13.0,9.0,vip,30,17.0,0
TRAIN_00328,39.0,M,55.0,7.0,3.0,vip,90,10.0,0
TRAIN_00329,35.0,M,36.0,22.0,16.0,plus,360,4.0,1
TRAIN_00330,43.0,M,9.0,24.0,7.0,member,360,25.0,1
TRAIN_00331,44.0,F,16.0,12.0,17.0,member,90,27.0,0
TRAIN_00332,22.0,F,38.0,24.0,2.0,vip,90,12.0,0
TRAIN_00333,62.0,F,29.0,24.0,8.0,plus,30,16.0,0
TRAIN_00334,48.0,M,37.0,4.0,7.0,member,90,19.0,1
TRAIN_00335,59.0,M,22.0,18.0,25.0,member,360,1.0,0
TRAIN_00336,65.0,F,14.0,25.0,21.0,member,360,25.0,0
TRAIN_00337,31.0,M,46.0,25.0,16.0,member,90,3.0,1
TRAIN_00338,47.0,M,27.0,23.0,16.0,member,360,4.0,0
TRAIN_00339,42.0,M,36.0,1.0,6.0,member,360,12.0,0
TRAIN_00340,60.0,M,7.0,7.0,25.0,plus,30,19.0,0
TRAIN_00341,57.0,M,48.0,27.0,7.0,member,360,17.0,0
TRAIN_00342,23.0,M,36.0,10.0,22.0,vip,90,10.0,1
TRAIN_00343,46.0,F,60.0,4.0,11.0,member,90,6.0,0
TRAIN_00344,24.0,M,42.0,8.0,9.0,vip,90,1.0,0
TRAIN_00345,51.0,M,41.0,8.0,15.0,plus,360,16.0,2
TRAIN_00346,57.0,M,44.0,19.0,20.0,vip,30,15.0,2
TRAIN_00347,47.0,F,50.0,10.0,30.0,plus,30,4.0,2
TRAIN_00348,52.0,F,6.0,27.0,18.0,vip,90,28.0,1
TRAIN_00349,60.0,F,60.0,29.0,6.0,vip,360,15.0,2
TRAIN_00350,50.0,M,4.0,12.0,30.0,plus,90,26.0,1
TRAIN_00351,19.0,M,14.0,17.0,18.0,plus,30,17.0,0
TRAIN_00352,19.0,M,50.0,11.0,4.0,member,360,19.0,0
TRAIN_00353,40.0,M,39.0,12.0,17.0,plus,90,15.0,0
TRAIN_00354,37.0,F,27.0,3.0,1.0,plus,90,21.0,2
TRAIN_00355,62.0,F,18.0,1.0,8.0,vip,360,4.0,2
TRAIN_00356,30.0,M,22.0,20.0,21.0,member,30,6.0,1
TRAIN_00357,35.0,F,50.0,11.0,12.0,plus,30,27.0,2
TRAIN_00358,60.0,M,21.0,11.0,18.0,member,360,26.0,1
TRAIN_00359,44.0,F,17.0,9.0,0.0,member,90,15.0,2
TRAIN_00360,37.0,M,35.0,21.0,18.0,member,30,29.0,2
TRAIN_00361,38.0,F,11.0,6.0,2.0,vip,90,10.0,1
TRAIN_00362,39.0,M,30.0,29.0,16.0,member,90,27.0,0
TRAIN_00363,35.0,F,32.0,9.0,14.0,vip,360,12.0,0
TRAIN_00364,37.0,M,53.0,22.0,29.0,plus,30,19.0,1
TRAIN_00365,28.0,M,6.0,15.0,20.0,plus,90,15.0,0
TRAIN_00366,50.0,M,10.0,6.0,8.0,vip,360,12.0,2
TRAIN_00367,45.0,M,48.0,17.0,18.0,vip,90,11.0,1
TRAIN_00368,31.0,F,42.0,23.0,17.0,member,30,15.0,1
